,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
0,2017-03-07T15:33:15,39.7721615,-104.7949392,0.0,0.2655,41.5,0.976,1.0,0.0,1032.8125,0.02,1.0,1.5,960.0,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,3.0,0.0,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.0442494745558,-0.007517794408,0.12,2.52,2.0,0.0,2.0
13,2017-03-07T15:33:28,39.7721636,-104.7949349,0.0,0.2855,42.0,0.976,1.0,0.0,1039.0625,0.0,1.0,1.5,1126.06674001,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.14356,-0.25129,0.12,2.52,2.0,0.0,2.0
26,2017-03-07T15:38:53,39.7721593,-104.7949544,0.0,0.2665,47.0,0.732,1.0,0.0,1046.875,0.0,1.0,-1.5,960.0,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.14356,-0.25129,0.12,2.52,2.0,0.0,2.0
39,2017-03-07T15:39:06,39.7721528,-104.7949566,0.0,0.2565,89.7376254611,0.732,1.0,0.0,1000.0,0.0,1.0,-1.5,1126.06674001,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.10767,-0.25129,0.12,2.52,0.808110168684,0.00481273229772,0.784475364529
52,2017-03-07T15:39:19,39.7721528,-104.7949544,0.0,0.2555,89.7376254611,0.732,1.0,0.0,995.3125,0.0,1.0,-1.5,960.0,0.0,82.0,74.0,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.14356,-0.25129,0.12,2.52,2.0,0.0,2.0
65,2017-03-07T15:39:32,39.7721528,-104.7949523,0.0,0.256,50.0,0.732,1.0,0.0,1000.78125,0.0,1.0,-1.5,960.0,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.17945,-0.25129,0.12,2.52,0.808110168684,0.00481273229772,0.784475364529
78,2017-03-07T15:39:45,39.7721528,-104.7949523,0.0,0.2625,50.5,0.732,1.0,0.0,1008.59375,0.02,1.0,-1.5,960.0,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.0442494745558,-0.007517794408,0.12,2.52,2.0,0.0,2.0
91,2017-03-07T15:39:58,39.7721484,-104.7949544,0.0,0.253,51.0,0.732,1.0,0.0,1000.78125,0.0,1.0,-1.5,1126.06674001,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.0442494745558,-0.007517794408,0.12,2.52,2.0,0.0,2.0
104,2017-03-07T15:40:11,39.7721484,-104.7949588,0.0,0.251,52.0,0.976,1.0,0.0,1010.15625,0.0,1.0,-1.5,960.0,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.0442494745558,-0.007517794408,0.12,2.52,2.0,0.0,2.0
117,2017-03-07T15:40:24,39.7721484,-104.7949609,0.0,0.2505,52.5,0.732,1.0,0.0,1005.46875,0.0,1.0,-1.5,1126.06674001,0.0,65.5968778696,66.3126721763,209.785935884,0.0,0.0,1.38608119304,0.0724937862469,1.99444444444,1.94936708861,2.0,1.59493670886,1.88607594937,-0.10767,-0.28718,0.12,2.52,2.0,0.0,2.0
