,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR
5400,2017-04-07T17:25:57,33.3804492,-84.7567622,0.0,1.1605,88.5,0.732,1.0,76.84497534,1985.15625,0.0,0,-3.0,48756.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5409,2017-04-07T17:26:06,33.3831684,-84.7562305,0.0,0.0,88.0,0.488,1.0,70.54427145,1821.875,0.0,0,-4.5,48756.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,-0.3589,0.64605
5418,2017-04-07T17:26:15,33.3856836,-84.7557422,0.0,4.5125,89.7957166392,0.488,1.0,72.75013919,2660.9375,0.0,0,-1.5,48756.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5427,2017-04-07T17:26:24,33.3884158,-84.7551042,0.0,3.0265,90.0,1.708,1.0,80.82175097,2098.4375,0.0,0,1.5,48757.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.50246,-0.07175
5436,2017-04-07T17:26:33,33.3911046,-84.7538043,0.0,0.0,93.0,0.976,1.0,73.42122007,1899.21875,0.0,0,0.0,48757.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5445,2017-04-07T17:26:42,33.3933247,-84.7521723,0.0,1.253,89.0,1.464,1.0,70.60019486,1967.1875,0.0,0,1.5,48771.2448148,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5454,2017-04-07T17:26:51,33.3953277,-84.750217,0.0,0.5165,88.0,1.464,1.0,71.06622326,1839.0625,0.0,0,0.0,48771.2448148,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,-0.21534,0.07181
5463,2017-04-07T17:27:00,33.3973047,-84.7482465,0.0,2.407,88.0,0.244,1.0,71.24020719,1836.71875,0.0,0,-4.5,48757.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5472,2017-04-07T17:27:09,33.3992839,-84.7462826,0.0,2.2225,91.0,0.732,1.0,69.09026286,1751.5625,0.0,0,-1.5,48758.0,0.0,68.0,65.0,0.0,0.0,0.0,1.0,0.0,2.0,1.95,2.0,1.78333333333,2.0,0.180893286139,0.259198073766
5481,2017-04-07T17:27:18,33.4012283,-84.744349,0.0,1.771,92.5,0.732,1.0,71.65652589,1853.125,0.0,0,-3.0,48758.0,0.0,64.6538461538,64.3072552448,0.0,0.0,0.0,1.31246342891,0.0263311878291,2.0,1.95,2.0,1.78333333333,2.0,0.03589,0.43071
