,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
0,2017-03-09T00:00:00,35.0701758,-110.8343555,0.0,0.1635,92.5,0.732,1.0,0.0,697.65625,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
3,2017-03-09T00:00:03,35.0701758,-110.8343555,0.0,0.1725,92.5,0.732,1.0,0.0,696.09375,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
6,2017-03-09T00:00:06,35.0701758,-110.8343555,0.0,0.173,92.5,0.732,1.0,0.0,699.21875,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
9,2017-03-09T00:00:09,35.0701758,-110.8343555,0.0,0.171,92.5,0.732,1.0,0.0,707.03125,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.17946,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
12,2017-03-09T00:00:12,35.0701758,-110.8343555,0.0,0.1635,90.7397239724,0.732,1.0,0.0,702.34375,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
15,2017-03-09T00:00:15,35.0701758,-110.8343555,0.0,0.163,92.5,0.732,1.0,0.0,700.78125,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.783505154639,0.00299301629531,0.790821416694
18,2017-03-09T00:00:18,35.0701758,-110.8343555,0.0,0.1705,92.5,0.732,1.0,0.0,703.90625,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
21,2017-03-09T00:00:21,35.0701758,-110.8343555,0.0,0.162,92.5,0.732,1.0,0.0,700.0,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
24,2017-03-09T00:00:24,35.0701758,-110.8343555,0.0,0.173,92.5,0.732,1.0,0.0,696.09375,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,203.0,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
27,2017-03-09T00:00:27,35.0701758,-110.8343555,0.0,0.1615,92.5,0.732,1.0,0.0,701.5625,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
30,2017-03-09T00:00:30,35.0701758,-110.8343555,0.0,0.1645,92.5,0.732,1.0,0.0,699.21875,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.783505154639,0.00299301629531,0.790821416694
33,2017-03-09T00:00:33,35.0701758,-110.8343555,0.0,0.172,92.5,0.732,1.0,0.0,699.21875,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
36,2017-03-09T00:00:36,35.0701758,-110.8343555,0.0,0.1615,92.5,0.732,1.0,0.0,706.25,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
39,2017-03-09T00:00:39,35.0701758,-110.8343555,0.0,0.1615,92.5,0.732,1.0,0.0,712.5,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.17946,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
42,2017-03-09T00:00:42,35.070178,-110.8343555,0.0,0.162,92.5,0.732,1.0,0.0,706.25,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,3.0,1.0,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.03594,0.428571428571,2.78571428571,0.0,0.0,0.0
45,2017-03-09T00:00:45,35.070178,-110.8343555,0.0,0.161,92.5,0.732,1.0,0.0,703.125,0.0,1.0,12.0,1694.0,0.0,69.0,72.0,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
48,2017-03-09T00:00:48,35.070178,-110.8343576,0.0,0.1635,92.5,0.732,1.0,0.0,700.78125,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.783505154639,0.00299301629531,0.790821416694
51,2017-03-09T00:00:51,35.070178,-110.8343576,0.0,0.164,92.5,0.732,1.0,0.0,692.1875,0.0,1.0,12.0,1694.0,0.0,69.0,72.0,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
54,2017-03-09T00:00:54,35.070178,-110.8343576,0.0,0.171,92.5,0.732,1.0,0.0,694.53125,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,203.0,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.0,0.0,0.0
57,2017-03-09T00:00:57,35.070178,-110.8343576,0.0,0.1715,92.5,0.732,1.0,0.0,704.6875,0.0,1.0,12.0,1694.0,0.0,69.0,72.0,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.14357,-0.07183,0.428571428571,2.78571428571,0.0,0.0,0.0
60,2017-03-09T00:01:00,35.070178,-110.8343576,0.0,0.171,92.5,0.732,1.0,0.0,699.21875,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,1.20771513353,0.0890207715134,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.17946,-0.07183,0.428571428571,2.78571428571,0.783505154639,0.00299301629531,0.790821416694
63,2017-03-09T00:01:03,35.070178,-110.8343598,0.0,0.1645,92.5,0.732,1.0,0.0,700.0,0.0,1.0,12.0,1694.0,0.0,64.8112903226,71.614516129,183.459731544,0.0,0.0,3.0,1.0,1.85714285714,2.0,2.0,1.67826086957,2.0,-0.0509007605877,-0.00681219533276,0.428571428571,2.78571428571,0.783505154639,0.00299301629531,0.790821416694
