,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
143,2017-03-03T14:07:29,33.6392947,-112.2275825,0.0,0.308,999.0,999.0,3.0,0.0,1107.8125,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
154,2017-03-03T14:07:40,33.6392947,-112.2275825,0.0,0.3005,999.0,999.0,3.0,0.0,1100.78125,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
165,2017-03-03T14:07:51,33.6392947,-112.2275825,0.0,0.297,999.0,999.0,3.0,0.0,1100.78125,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,72.0,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.101512238,-0.101512238,0.454545454545,2.18181818182,2.0,0.0,2.0
176,2017-03-03T14:08:02,33.6392969,-112.2275846,0.0,0.3085,999.0,999.0,3.0,0.0,1103.90625,0.0,1.0,-106.5,16647.9192271,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
187,2017-03-03T14:08:13,33.6392969,-112.2275846,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
198,2017-03-03T14:08:24,33.6392947,-112.2275846,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
209,2017-03-03T14:08:35,33.6392947,-112.2275868,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16647.9192271,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,0.0718104309891,0.0718104309891,0.454545454545,2.18181818182,2.0,0.0,2.0
220,2017-03-03T14:08:46,33.6392947,-112.2275868,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,2.0,0.0,2.0
231,2017-03-03T14:08:57,33.6392947,-112.2275868,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,70.0,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,1.17216090619,0.521638106303,1.17041823991
242,2017-03-03T14:09:08,33.6392947,-112.2275846,0.0,0.0,999.0,999.0,3.0,0.0,0.0,0.0,1.0,-106.5,16446.0,0.0,69.8999290277,66.0,137.30264672,0.0,0.949485041687,1.08464098906,0.0242510699001,2.0,1.85365853659,2.0,1.92682926829,2.0,-0.126890297,-0.126890297,0.454545454545,2.18181818182,2.0,0.0,2.0
