,gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
0,2017-03-08T00:00:00,36.0035091,-106.0638129,0.0,0.667,92.0,1.464,1.0,27.78771972,1169.53125,0.0,1.0,4.5,1291.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,2.0,0.0,2.0
16,2017-03-08T00:00:16,36.0015625,-106.0630881,0.0,0.0,92.5,2.684,1.0,23.83579893,985.9375,1.14,1.0,10.5,1291.0,0.0,69.0,69.0,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-1.57917,-0.35894,0.287671232877,2.54794520548,2.0,0.0,2.0
32,2017-03-08T00:00:32,36.0009831,-106.0629818,0.0,0.196,91.0,0.732,1.0,0.0,642.96875,1.5,1.0,9.0,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-1e-05,0.17941,0.287671232877,2.54794520548,2.0,0.0,2.0
48,2017-03-08T00:00:48,36.0006684,-106.0629753,0.0,0.7995,90.0,2.196,1.0,20.41204366,1405.46875,0.0,1.0,7.5,1291.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,2.0,0.0,2.0
64,2017-03-08T00:01:04,35.9990625,-106.0634136,0.0,0.016,92.0,1.708,1.0,18.34909131,917.96875,0.56,1.0,7.5,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-1.04082,-0.03593,0.287671232877,2.54794520548,2.0,0.0,2.0
80,2017-03-08T00:01:20,35.9984787,-106.0637153,0.0,0.197,89.8948190304,0.732,1.0,0.0,632.8125,0.0,1.0,9.0,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,0.35889,0.17941,0.287671232877,2.54794520548,2.0,0.0,2.0
96,2017-03-08T00:01:36,35.9972982,-106.0645421,0.0,0.2855,92.0,2.196,1.0,35.05776267,1186.71875,0.0,1.0,7.5,1291.0,0.0,69.0,69.0,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,1.0,0.0,1.0
112,2017-03-08T00:01:52,35.9957661,-106.0662522,0.0,0.39,89.5,1.708,1.0,34.00764535,1153.125,0.0,1.0,4.5,1292.0,0.0,69.0,69.0,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,1.0,0.0,1.0
128,2017-03-08T00:02:08,35.9942773,-106.0679275,0.0,0.697,89.0,-3.172,1.0,32.57849161,1167.96875,0.0,1.0,-12.0,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,0.10766,1.11255,0.287671232877,2.54794520548,1.0,0.0,1.0
144,2017-03-08T00:02:24,35.9920964,-106.0682292,0.0,0.4695,90.0,-4.148,1.0,33.38006045,1132.8125,0.0,1.0,-16.5,1292.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,1.0,0.0,1.0
160,2017-03-08T00:02:40,35.9902821,-106.0670573,0.0,1.289,91.0,0.732,1.0,34.25619383,1492.1875,0.0,1.0,1.5,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,0.71779,-0.03594,0.287671232877,2.54794520548,1.0,0.0,1.0
176,2017-03-08T00:02:56,35.9884418,-106.065217,0.0,0.0665,90.5,-3.66,1.0,34.84649646,1178.125,0.0,1.0,-13.5,1479.75544627,0.0,69.0,69.0,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.17946,1.39966,0.287671232877,2.54794520548,2.0,0.0,2.0
192,2017-03-08T00:03:12,35.9878776,-106.0627821,0.0,0.955,89.0,0.732,1.0,29.7077567,1385.15625,0.0,1.0,0.0,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,1.0,0.0,2.0
208,2017-03-08T00:03:28,35.9872917,-106.0598459,0.0,0.0,89.0,0.976,1.0,38.8294858,1609.375,0.0,1.0,1.5,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.3948,0.10761,0.287671232877,2.54794520548,2.0,0.0,1.0
224,2017-03-08T00:03:44,35.9865126,-106.0567166,0.0,1.2005,91.0,0.488,1.0,43.06102362,1492.1875,0.0,1.0,0.0,1293.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.0,0.0,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,0.35889,0.03583,0.287671232877,2.54794520548,0.953146798946,0.00631685010076,0.968144473725
240,2017-03-08T00:04:00,35.9854991,-106.0530556,0.0,1.2635,89.8948190304,2.928,1.0,53.12723694,1798.4375,0.0,1.0,7.5,1293.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,0.17944,-0.39484,0.287671232877,2.54794520548,1.0,0.0,1.0
256,2017-03-08T00:04:16,35.9832031,-106.0501997,0.0,0.0,90.0,0.488,1.0,43.55190686,1452.34375,0.0,1.0,1.5,1293.0,0.0,69.0,69.0,221.258482143,0.0,0.0,1.0,0.0,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,1.0,0.0,1.0
272,2017-03-08T00:04:32,35.9810482,-106.0483963,0.0,1.862,88.5,0.976,1.0,40.37048636,1745.3125,0.0,1.0,1.5,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,0.86135,-5e-05,0.287671232877,2.54794520548,0.953146798946,0.00631685010076,0.968144473725
288,2017-03-08T00:04:48,35.9786762,-106.0464366,0.0,0.0,91.0,0.732,1.0,42.01090631,1749.21875,0.0,1.0,1.5,1293.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.0,0.0,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,1.0,0.0,1.0
304,2017-03-08T00:05:04,35.9766385,-106.0447244,0.0,0.1875,91.5,0.732,1.0,16.00652191,837.5,3.34,1.0,1.5,1294.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-4.59393,-0.03594,0.287671232877,2.54794520548,2.0,0.0,2.0
320,2017-03-08T00:05:20,35.9764757,-106.0445855,0.0,0.1955,92.0,0.732,1.0,0.0,649.21875,1.64,1.0,1.5,1479.75544627,0.0,69.0,69.0,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.10768,0.07173,0.287671232877,2.54794520548,2.0,0.0,2.0
336,2017-03-08T00:05:36,35.97574,-106.0439714,0.0,1.022,90.5,0.732,1.0,34.18162928,1570.3125,0.0,1.0,0.0,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,0.323,0.14351,0.287671232877,2.54794520548,1.0,0.0,1.0
352,2017-03-08T00:05:52,35.9735026,-106.0420877,0.0,0.6425,91.0,1.22,1.0,53.3695717,1442.1875,0.0,1.0,1.5,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.17946,-0.07183,0.287671232877,2.54794520548,1.0,0.0,1.0
368,2017-03-08T00:06:08,35.9705903,-106.0395833,0.0,0.662,92.0,0.0,1.0,53.02160383,1207.8125,0.0,1.0,-1.5,1479.75544627,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.094563575776,0.036514736762,0.287671232877,2.54794520548,0.953146798946,0.00631685010076,0.968144473725
384,2017-03-08T00:06:24,35.9681424,-106.0367448,0.0,0.3115,91.0,0.976,1.0,48.82734829,1113.28125,0.0,1.0,0.0,1294.0,0.0,69.0,69.0,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-0.25124,0.21529,0.287671232877,2.54794520548,1.0,0.0,1.0
400,2017-03-08T00:06:40,35.9658919,-106.033852,0.0,0.7415,91.0,1.464,1.0,49.9830987,1176.5625,0.0,1.0,1.5,1295.0,0.0,64.9113971274,65.923521731,221.258482143,0.0,0.0,1.65988848803,0.150541161036,1.99710982659,1.81818181818,1.97902097902,1.53146853147,1.93706293706,-1e-05,-0.03594,0.287671232877,2.54794520548,1.0,0.0,1.0
